"resp","response_token","timestamp","fu_json","p3q1","p3q2","p3q3","p3q3a","p3q4","p3q5","p3q6","p3q7","p3q8","p3q9","p3q10","p3q11","p3q12","p3q13","p3q14","p3q15","p3q16a","p3q16b","p3q16c","p3q16d","p3q16e","p3q16f","p3q16g","p3q16h","p3q16i","p3q16j","p3q16k","p3q16l","p3q16m","p3q16n","p3q16o","p3q16p","p3q17a","p3q17b","p3q17c","p3q17d","p3q17e","p3q17f","p3q17g","p3q17h","p3q17i","p3q17j","p3q17k","p3q18","p3q19","p3q20","p3q21","p3q22","p3q23","p3q24","p3q25","p3q26","p3q27","p3q28","p3q29","p3q30","p3q31a","p3q31b","p3q31c","p3q31d","p3q31e","p3q31f","p3q31g","p3q31h","p3q31i","p3q31j","p3q31k","p3q31l","p3q31m","p3q31n","p3q31o","p3q31p","p3q31q","p3q32a","p3q32b","p3q32c","p3q32d","p3q32e","p3q32f","p3q32g","p3q32h","p3q32i","p3q32j","p3q32k","p3q33","p3q34a","p3q34b","p3q34c","p3q34d","p3q34e","p3q34f","p3q34g","p3q34h","p3q34i","p3q34j","p3q34k","p3q34l","p3q34m","p3q34n","p3q34o"
"304","0df28818d0e0e673ec3898ee483652603eb10aa5d41339c9106cace487c7c340","1431546711",,"NANS","NANS","NANS","NANS","3_10","no","21","2","NANS","NANS","NANS","wine","never","never","no","elsewhere_socializing","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"305","1c0205aaec269fd1efaa353eed982304cccdb9412a5f715b1d61f1a0c51698b7","1431546730","whippits_amount=2","3_10","no","no","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,student_group_events,parents,lower_drinking_age","lower_drinking_age","beer","10_100","10_100","no","at_lg_socializing","yes","no","yes","yes","no","yes","yes","yes","no","no","no","no","yes","yes","no","no","never","ge3","never","never","never","never","never","never","never","twice","never","3_10","joint,bowl,bong,edible,dabbing","given_friends","18","1","no","elsewhere_socializing","no","no","NANS","NANS","NANS","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"306","95a9e61a507be8670289d0b779c1e65ff2e9f5573e7ab5c4911e9db743e5565c","1431546740","caffeine_with_alcohol=no&whippits_amount=le1&psychedelics_trip_sitter=sometimes&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=no&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=given_friends&lsd_obtained=given_friends&lsd_dose=l20","NANS","NANS","NANS","NANS","10_100","yes","19","2","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,parents,no_id,lower_drinking_age","bought_friends","high_alc","10_100","3_10","no","my_parties","yes","no","unsure","yes","no","yes","no","yes","no","no","no","no","yes","yes","no","no","never","twice","once","never","never","never","never","never","never","never","never","10_100","bowl,bong,improvised,vaporizer,edible,dabbing","given_friends","19","2","yes","elsewhere_socializing","no","yes","yes","vaporizer","given_friends","NANS","yes","no","no","yes","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","never","ge3","never","never","never","never","never","never","never","never","never","ge3","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"307","0846c8ed2f4ac6b5ae949770e58f744110b7d9ca3fa418a1a19cf7c1c88e4e92","1431546758",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,official_parties","given_friends","liquor","3_10","3_10","no","at_lg_socializing","yes","no","unsure","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","never","ge3","never","never","never","never","never","never","never","once","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"308","95cdb48c2ad3ed0d196a1d197b3d3b5e8ca73947f9ad70ed356a401031afc9e3","1431546769",,"3_10","no","yes","NANS","10_100","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties,official_parties,student_group_events,parents,no_id","given_friends","beer","10_100","10_100","no","bars","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","never","never","never","never","3_10","joint,blunt,bowl,bong,vaporizer,edible","given_friends","NANS","NANS","NANS","others_parties","no","no","yes","vaporizer","given_friends","NANS","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"309","b6c824451b6b766af307e7bcd9c1a7a25a6668ab1edff68a235c46704e27a46a","1431546820","cocaine_circumstances=others_parties&cocaine_obtained=given_friends&psychedelics_trip_sitter=never&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=no&psychedelics_reasonsf=no&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=given_friends&lsd_obtained=given_friends&lsd_dose=l20","twice","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,parents,no_id,other_id,lower_drinking_age","given_friends","beer","3_10","10_100","no","bars","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","never","never","never","never","never","once","never","once","never","3_10","joint,blunt,bowl","given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","NANS","NANS","NANS","NANS","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","never","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never"
"310","c090979d4ddf633228749592b79424012cf410dd1be88883d5b8a2668cc388ac","1431546856",,"NANS","NANS","NANS","NANS","twice","NANS","NANS","NANS","NANS","other","bought_friends","high_alc","once","never","no","elsewhere_socializing","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"311","3edd36d6b784c5c08ef9805b6584d00b04ffb27e14a960bb9837d6613db47d35","1431546841",,"NANS","NANS","NANS","NANS","10_100","yes","19","1","NANS","given_friends,MIT_FSILG_parties,unregistered_parties,parents,lower_drinking_age","given_friends","liquor","10_100","3_10","no","at_lg_socializing","yes","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"312","490bc8f6cf4c4adc348aae6c361bf963f96d5ee74e767544f4642e673bff7b62","1431546841",,"NANS","NANS","NANS","NANS","3_10","yes","21","1","NANS","NANS","NANS","wine","never","never","no","others_parties","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","once","joint","given_friends","22","2","yes","other","no","no","NANS","NANS","NANS","NANS","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"313","4fb28a374a4d1f6098ecaddb935f396c5e4bc254013102350c3d21486f53da9b","1431546916",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"314","b5dd313d9b2615964a282479d9858f628c2bcf05dc0012dcda9b0c030a315f0e","1431546924","psychedelics_trip_sitter=always&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=no&psychedelics_reasonsf=no&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT&lsd_obtained=bought_friends_MIT&lsd_dose=150_400","3_10","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,student_group_events,parents,no_id,lower_drinking_age","bought_friends","beer","10_100","10_100","no","at_lg_socializing","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","yes","no","never","ge3","never","never","never","never","never","never","never","never","never","3_10","joint,bowl,vaporizer,edible","given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","yes","bowl","given_friends","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"315","528e133cdb0b2b5ad413d688f3b192a1da7b62e877e7740b10f66501c451a586","1431546933",,"twice","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,off_campus,unregistered_parties,official_parties,fake_id,lower_drinking_age","unregistered_parties","wine","3_10","10_100","no","others_parties","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","once","ge3","never","never","never","never","once","once","never","ge3","never","3_10","joint,bowl,bong,vaporizer,edible","MIT_FSILG_parties,given_friends","19","2","yes","elsewhere_socializing","no","no","yes","vaporizer","given_friends","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"316","3dda309ecc5bf84269d422c2d42b320e184b8d3023d7fb176964c31370f1e34c","1431546953","cocaine_circumstances=socializing&cocaine_obtained=given_friends&whippits_amount=le1&psychedelics_trip_sitter=always&psychedelics_bad_trip=once&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=no&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cgiven_friends&lsd_obtained=bought_friends_MIT%2Cgiven_friends&lsd_dose=l20&presc_stim_use_past_12=5_10_total&presc_stim_prescribed=no&presc_stim_form=whole_pill&presc_stim_obtained=bought_non_MIT%2Cgiven_friends&presc_stim_source_prescribed=unsure&presc_stim_academic_use=yes_effective&presc_stim_with_alcohol=no","3_10","yes","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,student_group_events,parents","given_friends","beer","gt100","10_100","no","elsewhere_socializing","yes","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","never","ge3","never","never","never","never","never","never","ge3","ge3","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,dabbing","bought_friends_MIT,bought_non_friends_MIT,bought_non_MIT,given_friends","18","1","yes","elsewhere_socializing","no","no","yes","bong","given_friends","NANS","yes","no","yes","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","never","never","never","never","never","never","once","never","once","never","never","never","never","never","never"
"317","048d60628983854761cc82fb9f32282cd1d62963c837f24145463b103adc105d","1431546958",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,parents,fake_id","fake_id","high_alc","once","twice","no","others_parties","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"318","f207e4ce5b6ae3c8c2e91c88d2c598bb6954c70d0b56270114328809697aa841","1431546962",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties,student_group_events,parents,fake_id,lower_drinking_age","lower_drinking_age","liquor","10_100","3_10","no","others_parties","no","no","yes","yes","no","yes","no","yes","yes","unsure","yes","no","no","yes","yes","no","once","ge3","never","never","never","never","never","ge3","ge3","ge3","once","3_10","joint,bowl,bong,improvised,edible","bought_non_friends_MIT,MIT_FSILG_parties,given_friends","NANS","NANS","NANS","others_parties","no","no","yes","joint","given_friends","NANS","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","no","no","yes","no","no","never","never","never","never","never","never","never","twice","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"319","c50a3e0a7f38d9a53f4b7c75fed68dcd1e81c4e69e399522831301b90a923af5","1431547007",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,official_parties,parents","unregistered_parties","liquor","3_10","10_100","no","elsewhere_socializing","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","never","twice","never","never","never","never","never","never","once","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"320","750524ffa96464d68f3a079950157d9e5123ede9f3b156f076bc2badf05040e4","1431547063",,"3_10","no","yes","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,unregistered_parties,parents,no_id","MIT_FSILG_parties","beer","10_100","10_100","no","at_lg_socializing","yes","yes","yes","yes","no","yes","yes","no","yes","no","no","no","yes","yes","yes","no","twice","ge3","once","never","never","never","never","never","never","twice","never","3_10","blunt,edible","given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","NANS","NANS","NANS","NANS","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
