"resp","response_token","timestamp","p2q1","p2q2","p2q3","p2q4","p2q5","p2q6","p2q7a","p2q7b","p2q7c","p2q7d","p2q7e","p2q7f","p2q7g","p2q8a","p2q8b","p2q8c","p2q8d","p2q8e","p2q8f","p2q8g","p2q9","p2q10","p2q11","p2q12","p2q13","p2q14a","p2q14b","p2q14c","p2q15a","p2q16","p2q16a","p2q16b","p2q16c","p2q16d","p2q16e","p2q17","p2q17a","p2q17b","p2q17c","p2q17d","p2q17e","p2q18a","p2q18b","p2q19a","p2q19b","p2q19c","p2q19d","p2q19e","p2q19f","p2q20","p2q20a","p2q20b","p2q20c","p2q20d","p2q20e","p2q20f","p2q20g","p2q21","p2q21a","p2q21b","p2q21c","p2q21d","p2q21e","p2q21f","p2q22","p2q22a","p2q22b","p2q22c","p2q22d","p2q22e","p2q22f","p2q23","p2q23a","p2q23b","p2q23c","p2q23d","p2q23e","p2q24a","p2q24b","p2q25a","p2q25b","p2q25c","p2q25d","p2q26"
"37","8c8c69b3870c853f7b380fc7bcad0812dd0328f7567f99e3bec81a67f6c856d8","1431540893","yes_def","yes_def","adequate","v_unconf","v_unconf","never","neutral","neg","neutral","neg","neg","neutral","sli_neg","sli_neg","very_neg","sli_neg","very_neg","very_neg","sli_neg","very_neg","yes_def","no","twice","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add","never","never","never","never","yes","twice","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","NANS","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"38","9475bc99ab053c530951036de71521495cf9559afa4c89fe4e4e63c408cc369b","1431540894","no","no","unsure","v_unconf","v_unconf","never","neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","neg","very_neg","neg","neg","neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"39","8fefa839024a343ee8611263895c6dd7f23b3932f621ccb894d22b53d4e3dad0","1431540901","no","no","adequate","neither","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","neg","neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"40","13926aa0412ccce40b23a7cd587bd7dfa40f4c0fcb4ccee170a4f38f4fa41b07","1431541001","think_so","think_so","inadequate","unconf","v_unconf","never","sli_neg","very_neg","neutral","sli_neg","neg","neutral","sli_neg","neutral","neutral","slightly_pos","slightly_pos","sli_neg","neutral","neutral","no","no","never","none","main_effects,short_term_se,long_term_se,phys_add,avail,other_users","twice","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"41","804404bb7c10a4e903df0b2ee6ed3fb6771343da52651ddd673a14a84526bc6f","1431541008","think_so","unsure","inadequate","v_unconf","v_unconf","never","sli_neg","neg","sli_neg","neg","neutral","neutral","neg","sli_neg","neg","sli_neg","sli_neg","sli_neg","neutral","sli_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"42","9b4c8bd05116855f87bdd029901358374512116fde17b9ca5c3be313d01cdca8","1431541066","no","no","unsure","unconf","unconf","never","neg","very_neg","neg","very_neg","very_neg","neg","very_neg","very_neg","neg","very_neg","neg","very_neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"43","54c18f13c7310a2f07a4e6edb89e6d980258158e093022aebd0ee88e45d2bd38","1431541079","yes_def","yes_def","comprehensive","unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","sli_neg","slightly_pos","neg","sli_neg","sli_neg","neutral","neutral","neutral","slightly_pos","slightly_pos","unsure","no","once","gen_sources,other_undergrads","long_term_se,phys_add,psy_add,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"44","7fbfa27d16d424cd91b56d75f453a2c997c787911f8bb103c9051855d60b31fa","1431541136","no","no","inadequate","unconf","unconf","never","very_neg","very_neg","neg","neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"45","4ae2cc2112d7e066d5e6aad2109bbf2b7c7b8806f4c34894a5b77185b6bc8818","1431541214","think_so","no","adequate","unconf","unconf","never","sli_neg","very_neg","neg","neg","neg","sli_neg","very_neg","neg","very_neg","neg","sli_neg","neg","very_neg","very_neg","no","no","never","gen_sources","main_effects,cost,avail,other_users","never","never","never","never","yes","once","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"46","5c2e3c6eba9cc8757bd649fe4d7a9d8bd7560e2b43a1923749ac42587af7d182","1431541241","no","no","adequate","v_unconf","v_unconf","never","neg","very_neg","slightly_pos","neg","neg","sli_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","very_neg","very_neg","very_neg","no","no","never","online_like_erowid,gen_sources,other_undergrads","short_term_se,phys_add,other_users","never","never","never","never","yes","3_10","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","3_10","never","never","never","never","never","never","never","never","never","never","no"
"47","65291eaba478c31f2eb0452a64b65b7204016b3d02bd5fba53ac5f728ea9786a","1431541246","think_so","think_so","adequate","unconf","conf","never","neg","very_neg","neg","very_neg","neg","neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"48","506462d3f4428e45eac66651f78dc216cb06b0ba13db96f0a5b8d52a78361695","1431541304","yes_def","no","inadequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","neutral","very_neg","very_neg","sli_neg","sli_neg","very_neg","neg","neg","no","no","never","gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,avail,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"49","1d0e9fb8da2309995fd77d9c69d25c23d78c7a2d309f5a0d3cbde50cc5a34a7a","1431541316","no","unsure","adequate","neither","unconf","never","neg","very_neg","neg","very_neg","sli_neg","neg","very_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","unsure","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"50","1b55b177de549234159dc51bd264b664bee5685b915497ef59b0705d1bbbc002","1431541343","yes_def","yes_def","inadequate","conf","conf","never","pos","neg","pos","pos","neg","pos","neg","very_neg","very_neg","very_neg","slightly_pos","very_neg","very_neg","very_neg","no","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users","10_100","10_100","never","never","yes","3_10","never","never","never","never","yes","never","never","twice","never","never","never","never","3_10","never","never","3_10","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","3_10","never","never","3_10","never","never","never","never","never","never","never","no"
"51","f5ca05bfa003fa03e7974523500b0d8c74eb325687a50d20e639437cf008649a","1431541363","no","no","inadequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"52","8d57ffe32c0146df0db603b61eb23979fd7d32d1fed967e0bf6437f2431d7635","1431541372","yes_def","no","adequate","v_conf","neither","never","very_neg","very_neg","slightly_pos","sli_neg","very_neg","slightly_pos","slightly_pos","neg","neg","neg","neg","neg","neg","neg","yes_def","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users,others_perc","3_10","never","never","never","yes","10_100","never","never","never","never","yes","3_10","3_10","never","never","never","never","never","twice","never","never","3_10","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","once","once","never","never","never","never","never","never","never","never","never","no"
"53","2f93b9b0df1934dc3421e09686c359fbf87fda527f3202063d398f223137580b","1431541420","yes_def","yes_def","inadequate","conf","v_unconf","never","neg","very_neg","neg","very_neg","neg","slightly_pos","neg","neg","very_neg","neg","very_neg","sli_neg","sli_neg","very_neg","yes_def","yes_def","never","forums,online_like_erowid,gen_sources,other_undergrads,doctor","main_effects,short_term_se,long_term_se,phys_add,psy_add,other_users,others_perc","never","never","never","never","yes","3_10","never","never","never","never","yes","twice","never","never","once","never","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"54","157be3d862ca70be56d6f342fda566157a01cd9908aa2f089b9a43b3927a94bc","1431541465","yes_def","yes_def","inadequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","very_neg","neg","neg","very_neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"55","e0692a494a2f5d92ee5330de3867ac1126d93fef31d6b2e502f97412fbfe74a1","1431541530","think_so","unsure","unsure","conf","unconf","never","neg","very_neg","neg","very_neg","sli_neg","neg","very_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"56","399a6f03e01e035d883884148ddd42e690df09f2eb468e4dc9ff939d46a26207","1431541573","yes_def","no","adequate","neither","unconf","never","very_neg","very_neg","neg","neg","very_neg","neutral","neg","very_neg","very_neg","neutral","sli_neg","very_neg","neutral","sli_neg","no","no","once","online_like_erowid,gen_sources,other_undergrads,doctor","main_effects,short_term_se,long_term_se,phys_add,psy_add","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"57","1a5b9620323fd1b2b3048c5849cfd54e77495c5ef76776d177311677984d43bc","1431541578","think_so","think_so","inadequate","unconf","unconf","once","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","neg","neg","neg","neutral","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"58","4b696a94ddd525cad56eb6cd8079d2b0be3a316be31dca8fdecd8392723f9ab6","1431541643","think_so","think_so","unsure","v_unconf","v_unconf","never","very_neg","very_neg","neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
